City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bud,US,2022-07-22 20:16:13,39.447,-86.1758,93.4,44,5,4.25
1,Hermanus,ZA,2022-07-22 20:14:42,-34.4187,19.2345,56.8,83,100,11.95
2,Cape Town,ZA,2022-07-22 20:15:42,-33.9258,18.4232,60.39,85,100,1.01
3,Victoria,HK,2022-07-22 20:15:52,22.2855,114.1577,87.19,81,55,8.01
4,Bengkulu,ID,2022-07-22 20:12:29,-3.8004,102.2655,75.42,88,95,4.09
5,Vardo,NO,2022-07-22 20:16:14,70.3705,31.1107,53.58,82,75,3.44
6,Lagoa,PT,2022-07-22 20:16:14,39.05,-27.9833,72.61,90,100,9.17
7,Punta Arenas,CL,2022-07-22 20:15:23,-53.15,-70.9167,39.31,70,0,13.8
8,Ushuaia,AR,2022-07-22 20:12:08,-54.8,-68.3,35.26,93,100,17.27
9,Jamestown,US,2022-07-22 20:14:40,42.097,-79.2353,86.05,47,20,14.97
10,Tambovka,RU,2022-07-22 20:16:14,50.0969,128.0489,60.67,92,77,5.28
11,Mahebourg,MU,2022-07-22 20:16:12,-20.4081,57.7,70.09,83,75,17.27
12,Saldanha,ZA,2022-07-22 20:16:15,-33.0117,17.9442,57.25,89,100,4.14
13,Askarovo,RU,2022-07-22 20:16:15,53.3372,58.5089,56.35,71,0,6.71
14,Baracoa,CU,2022-07-22 20:16:15,20.3467,-74.4958,83.57,78,95,9.78
15,Sinnamary,GF,2022-07-22 20:12:37,5.3833,-52.95,81.7,76,50,7.05
16,San Ramon,US,2022-07-22 20:16:16,37.7799,-121.978,94.28,38,0,8.05
17,Ribeira Grande,PT,2022-07-22 20:16:16,38.5167,-28.7,77.4,83,40,9.22
18,Turukhansk,RU,2022-07-22 20:16:17,65.8167,87.9833,59.22,78,11,12.55
19,Koungou,YT,2022-07-22 20:16:17,-12.7336,45.2042,71.31,83,20,3.44
20,Timizart,DZ,2022-07-22 20:16:17,36.8,4.2667,80.13,51,0,6.58
21,Kruisfontein,ZA,2022-07-22 20:16:18,-34.0033,24.7314,53.65,75,100,5.86
22,Adrar,MR,2022-07-22 20:16:18,20.5022,-10.0711,95.31,34,51,4.05
23,The Valley,AI,2022-07-22 20:16:18,18.217,-63.0578,86.83,58,40,16.11
24,Beyneu,KZ,2022-07-22 20:16:19,45.3167,55.2,85.35,35,93,18.07
25,Vagay,RU,2022-07-22 20:16:19,57.9375,69.0217,52.79,97,12,4.99
26,Chichimila,MX,2022-07-22 20:16:19,20.6167,-88.2167,89.65,38,76,8.03
27,Boa Vista,BR,2022-07-22 20:16:20,2.8197,-60.6733,85.98,62,75,8.05
28,Yar-Sale,RU,2022-07-22 20:16:20,66.8333,70.8333,44.6,95,100,15.99
29,Port Alfred,ZA,2022-07-22 20:14:01,-33.5906,26.891,64.45,65,100,8.77
30,Qiryat Shemona,IL,2022-07-22 20:16:20,33.2073,35.5721,76.06,73,0,4.9
31,Mar Del Plata,AR,2022-07-22 20:13:37,-38.0023,-57.5575,51.82,74,0,8.05
32,Grindavik,IS,2022-07-22 20:16:21,63.8424,-22.4338,55.35,94,75,4.61
33,Mehamn,NO,2022-07-22 20:16:21,71.0357,27.8492,53.55,87,75,14.97
34,Luderitz,NA,2022-07-22 20:16:21,-26.6481,15.1594,59.32,69,77,15.32
35,Kavaratti,IN,2022-07-22 20:16:22,10.5669,72.642,81.16,81,100,19.13
36,Kabinda,CD,2022-07-22 20:16:22,-6.1333,24.4833,78.53,33,100,3.71
37,Hithadhoo,MV,2022-07-22 20:12:24,-0.6,73.0833,81.54,73,100,7.81
38,Humberto De Campos,BR,2022-07-22 20:16:22,-2.5983,-43.4611,80.67,74,99,6.38
39,Salalah,OM,2022-07-22 20:13:03,17.0151,54.0924,77.09,94,75,4.61
40,Upernavik,GL,2022-07-22 20:12:51,72.7868,-56.1549,42.37,94,100,22.77
41,Saint-Philippe,RE,2022-07-22 20:16:23,-21.3585,55.7679,66.22,83,40,12.77
42,Tyazhinskiy,RU,2022-07-22 20:16:23,56.116,88.524,54.34,94,32,8.59
43,Mimongo,GA,2022-07-22 20:16:24,-1.6195,11.6068,72.39,70,57,1.03
